Number,State,Value,Param H_min_1,Param H_min_2,Param H_min_3,Param alpha_vp_1,Param alpha_vp_2,Param alpha_vp_3,Param beta_1,Param beta_2,Param beta_3,Param buffer_size_1,Param buffer_size_2,Param buffer_size_3,Param gr_1,Param gr_2
71,COMPLETE,0.5260287567973136,0.75,0.62,0.6599999999999999,1.1500000000000001,1.35,1.55,0.04,1.84,0.0,22,36,28,125,325
72,COMPLETE,0.5191800940781832,0.7000000000000001,0.62,0.62,1.0,1.3,1.65,0.02,1.8800000000000001,0.05,18,38,18,120,295
73,COMPLETE,0.5347874922677874,0.75,0.54,0.64,1.0,1.3,1.55,0.02,1.94,0.0,26,38,24,120,305
74,COMPLETE,0.5214964520186186,0.75,0.54,0.64,1.05,1.3,1.55,0.02,1.94,0.0,26,38,24,125,270
75,COMPLETE,0.5307403160259128,0.8,0.54,0.7,0.9500000000000001,1.25,1.75,0.04,1.94,0.0,26,36,22,120,305
76,COMPLETE,0.5292785920202732,0.8,0.54,0.72,0.9,1.25,1.75,0.06,1.94,0.05,28,36,22,120,305
77,COMPLETE,0.5288567999377847,0.8,0.54,0.72,0.9,1.25,1.8,0.04,1.94,0.0,28,36,22,120,305
78,COMPLETE,0.5243776563555003,0.8,0.54,0.72,0.9,1.3,1.8,0.06,1.94,0.05,28,36,20,120,305
79,COMPLETE,0.5343182712793351,0.8,0.54,0.7,0.8500000000000001,1.25,1.75,0.06,1.94,0.0,28,36,22,120,305
80,COMPLETE,0.5245770690962672,0.8,0.58,0.7,0.8500000000000001,1.25,1.75,0.08,1.92,0.0,26,34,20,120,315
81,COMPLETE,0.5230742041021585,0.8,0.54,0.7,0.8500000000000001,1.3,1.75,0.06,1.96,0.05,28,36,24,115,295
82,COMPLETE,0.5283880058676005,0.8,0.54,0.7,0.8500000000000001,1.4,1.5,0.1,1.94,0.0,26,38,22,120,285
83,COMPLETE,0.5294620981439948,0.8,0.58,0.74,0.9500000000000001,1.35,1.7,0.02,1.98,0.0,28,36,20,125,315
84,COMPLETE,0.5181016661226749,0.8,0.58,0.76,0.9500000000000001,1.35,1.7,0.02,1.98,0.0,24,40,20,125,315
85,COMPLETE,0.5275186641141772,0.75,0.58,0.76,1.0,1.4,1.55,0.02,1.98,0.0,26,34,20,130,335
86,COMPLETE,0.5212583282962442,0.8,0.62,0.64,0.9500000000000001,1.3,1.65,0.0,1.96,0.05,28,38,18,130,300
