time,json_config,trained,params,c_v,score
2025-04-21T10:27:55,smooth_trial01_0026.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 20}, ""stage2"": {""gr"": 300, ""H_min"": 0.4, ""alpha_vp"": 1.6, ""beta"": 1.6, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 1.6, ""beta"": 0.0, ""buffer_size"": 20}}",0.1,0.5338425946421921
2025-04-21T10:59:44,smooth_trial01_0027.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.4, ""alpha_vp"": 0.8, ""beta"": 0.4, ""buffer_size"": 20}, ""stage2"": {""gr"": 360, ""H_min"": 0.4, ""alpha_vp"": 1.6, ""beta"": 2.0, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 1.6, ""beta"": 0.0, ""buffer_size"": 20}}",0.1,0.5192606512457132
2025-04-21T11:28:42,smooth_trial01_0028.json,yes,"{""stage1"": {""gr"": 130, ""H_min"": 0.8, ""alpha_vp"": 1.0, ""beta"": 0.0, ""buffer_size"": 20}, ""stage2"": {""gr"": 300, ""H_min"": 0.2, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.6, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 1.6, ""beta"": 0.0, ""buffer_size"": 30}}",0.1,0.5294839084148407
2025-04-21T11:57:21,smooth_trial01_0029.json,yes,"{""stage1"": {""gr"": 150, ""H_min"": 0.8, ""alpha_vp"": 0.8, ""beta"": 0.0, ""buffer_size"": 20}, ""stage2"": {""gr"": 300, ""H_min"": 0.4, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.6, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 1.6, ""beta"": 0.0, ""buffer_size"": 30}}",0.1,0.5268146134912968
2025-04-21T12:26:14,smooth_trial01_0030.json,yes,"{""stage1"": {""gr"": 170, ""H_min"": 1.0, ""alpha_vp"": 1.0, ""beta"": 0.0, ""buffer_size"": 30}, ""stage2"": {""gr"": 300, ""H_min"": 0.8, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.8, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 1.6, ""beta"": 0.0, ""buffer_size"": 10}}",0.1,0.5187286876142025
2025-04-21T12:56:59,smooth_trial01_0031.json,yes,"{""stage1"": {""gr"": 130, ""H_min"": 0.8, ""alpha_vp"": 0.6000000000000001, ""beta"": 0.0, ""buffer_size"": 20}, ""stage2"": {""gr"": 280, ""H_min"": 0.0, ""alpha_vp"": 0.8, ""beta"": 1.2000000000000002, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.3, ""alpha_vp"": 1.6, ""beta"": 0.4, ""buffer_size"": 30}}",0.1,0.5265779746696353
2025-04-21T13:28:32,smooth_trial01_0032.json,yes,"{""stage1"": {""gr"": 170, ""H_min"": 1.0, ""alpha_vp"": 0.2, ""beta"": 0.4, ""buffer_size"": 20}, ""stage2"": {""gr"": 300, ""H_min"": 0.2, ""alpha_vp"": 1.6, ""beta"": 1.6, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 0.4, ""beta"": 0.0, ""buffer_size"": 20}}",0.1,0.5220115287229419
2025-04-21T13:58:12,smooth_trial01_0033.json,yes,"{""stage1"": {""gr"": 130, ""H_min"": 0.8, ""alpha_vp"": 0.6000000000000001, ""beta"": 0.8, ""buffer_size"": 30}, ""stage2"": {""gr"": 340, ""H_min"": 0.8, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.0, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.0, ""alpha_vp"": 1.6, ""beta"": 0.0, ""buffer_size"": 0}}",0.1,0.5172113196924328
2025-04-21T14:30:38,smooth_trial01_0034.json,yes,"{""stage1"": {""gr"": 130, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 20}, ""stage2"": {""gr"": 280, ""H_min"": 0.4, ""alpha_vp"": 1.6, ""beta"": 1.6, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 2.0, ""beta"": 0.4, ""buffer_size"": 10}}",0.1,0.5149028524756432
2025-04-21T15:03:07,smooth_trial01_0035.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 380, ""H_min"": 0.2, ""alpha_vp"": 2.0, ""beta"": 2.0, ""buffer_size"": 20}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 2.0, ""beta"": 2.0, ""buffer_size"": 40}}",0.1,0.5097922209650279
